park_id,park,community,year,month,visits,unit,status,source_url,retrieved_utc
red,Red Rock State Park,Sedona area,2024,11,8133,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,12,6754,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,1,5211,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,2,6761,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,3,10884,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,4,10332,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,5,6974,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,6,3789,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,7,3347,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,8,3057,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,9,4690,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,10,7983,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,11,7115,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,12,6074,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,1,16944,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,2,19041,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,3,23537,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,4,22419,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,5,21470,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,6,14014,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,7,8647,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,8,7753,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,9,14027,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,10,20412,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,11,21127,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2024,12,16678,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,1,17694,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,2,20666,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,3,23131,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,4,21417,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,5,19598,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,6,11012,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,7,9394,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,8,6914,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,9,11705,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,10,17358,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,11,18626,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
dead,Dead Horse Ranch State Park,Cottonwood,2025,12,12147,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,1,2929,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,2,3682,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,3,6503,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,4,5462,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,5,4250,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,6,2979,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,7,2799,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,8,2307,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,9,3332,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,10,5091,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,11,3813,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2024,12,3100,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,1,3446,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,2,4398,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,3,6033,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,4,4667,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,5,3510,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,6,2617,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,7,2256,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,8,2053,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,9,2571,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,10,4398,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,11,3289,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
jerome,Jerome State Historic Park,Jerome,2025,12,2676,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,1,529,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,2,759,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,3,1312,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,4,1217,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,5,861,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,6,630,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,7,450,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,8,405,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,9,489,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,10,1243,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,11,709,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2024,12,636,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,1,516,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,2,904,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,3,1117,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,4,956,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
